"Ford, Ashley",1
"Hamilton, Gordon",1
"Hutchinson, J.R.",1
Great Northern Railway,8
"Wheeler, Arthur O.",1
Air Canada,2
"Harris, Frann",2
Trans-Pacicic Steamship Lines,2
Royal Canadian Geographical Society,1
"Shapkin, Linda",1
"Pearce, J.",1
Price Printing Limited,1
Circle Tours Association,1
"Baker, S.H.",1
"Bruc, Gertu M.",1
Chief Buffalo Child Long Lance,1
Canadian National Steamships,4
Brewster Transport Company,2
Canadian Pacific Limited. CP Ships,1
"Wakefield, E.",1
"Pratt, George R.",1
Brotherhood of Locomotive Firemen and Enginemen,1
"Tomicki, John",1
Canadian National Railway Company,8
Hudson's Bay Company,1
"Keefer, Thomas C.",1
American Society of Civil Engineers,1
"Cooper, Fairman and Co.",1
"Bell, Robert",5
Geological Survey of Canada,5
Revelstoke Historical Association,2
"Allison, R.S.",1
"Beatty, Edward",18
"Tupper, Charles",11
Greek Line,1
Vancouver Board of Trade,2
"Kerr, R.",1
"Hale, Katherine",1
"Simpson, Chas W.",1
Chateau Frontenac Company,1
"Sandys, Ed.W.",1
"Bell, H.P.",2
"Borden, Robert Laird",2
"Davidson, Charles",1
"Dewdney, E.",1
"Hewson, M. Butt",1
"Moberly, Walter",1
"Hanley, Ann",1
"Stanton, Robert B.",1
Montreal Gazette,2
"Tuck, Samuel Parker",3
"Macleod, H.",4
William Hoffer Bookseller,1
"Tilley, S.L.",1
"Crump, Nicholas",1
"Fleming, Sandford",5
"Veritas., Philo.",1
"Wilson, William",1
"Howard, Roy E.",1
Canada Post,4
McLelland & Stewart Limited,1
"McMartin, Pete",1
Centennial Museum,1
"Smithers, Charles Francis",1
"Hamilton, John",1
"Thorne, Samuel",1
Guaranty Company of New York,1
"Moore, Gary",1
Esquimalt and Nanaimo Railway Company,26
Raymond & Whitcomb Company.,2
"Blunt, C.D.",1
"Pynn, Larry",1
Sandman Inn,2
"Wilson, Mark",2
"Osadchuk, Greg",1
P. Lawson Travel,1
"Anderson, Garry W.",1
Wayside Inn,1
"Leonard, J.M.",1
Winnipeg Board of Trade,1
Brandon Board of Trade,1
Dominion of Canada. Minister of Railways and Canals,1
"Biggar, E.B.",1
Ontario and Quebec Railway Company,1
"Baring, Edward Charles",1
"Jackman, W.T.",1
"Martin, Chester",2
"Nimmo, Joseph Jr.",1
"Kirkwood, S.J.",1
Canadian Society of Civil Engineers,1
Canada. Department of Trade and Commerce. Dominion Bureau of Statistics. Transportation Branch,1
"Leslie, J.",1
"Heeney, T.",3
"Corgina, G.",1
"DeMorgan, E.",1
"DeMorgan, S.A.",1
"Hamilton-Temple-Blackwood, Frederick",2
"Wilhelm, Honor L.",1
"MacBeth, R.G.",1
"Wortham, H.E.",1
"Lefroy, Walter J.M.",1
National Safety Council,1
"Peters, Denis",1
"Bailey, W.F.",1
"Crane, Frank",1
"Gibbon, J. Murray",1
"Hodge, George",1
"Coleman, D.C.",3
Canada. Governor General (1872-1878: Dufferin),1
"Kennedy, Howard Angus",2
"McLeod, M.",1
"Wells, G.C.",2
"Gray, H.L.",1
"Atkinson, Lord",1
Government of Canada. Board of Conciliation and Investigation.,1
"Smith, J. Harry",1
"Randal, Alan",1
Colonist Printing and Publishing Co.,1
"Board of Trade (Saint John, N.B.)",1
"Crump, N.R.",1
"Shaughnessy, Thomas G.",3
City of Toronto,1
"Stockbill, C.E.",1
"Stephen, George",3
"Ogden, Isaac G.",2
"Smith, Donald",3
"McIntyre, Duncan",1
"Angus, R.B.",1
"Blake, Edward W.",2
"Campbell, Alexander",1
"Chapleau, M.",1
"Langelier, F.",1
"Macdougall, William",1
"McLelan, A.W.",1
"Tasse, Joseph",1
"Langevin, H.L.",1
"Plumb, J.B.",1
"White, Thomas",2
"Dawson, S.J.",1
Canada. Department of Public Works,1
Canada. British Columbia. Provincial Secretary's Office,1
"Bourinot, J.G.",1
"Beaugrand, Honoré",1
"Elliot, Charles",1
Times,1
"Cooke, F.H.",1
"M., W.F.",1
"Morris, Keith",1
Victoria Daily Times,1
Vancouver Express,1
Pullman's Palace Car Company,1
Tourism British Columbia,1
"Huxtable, Nils",1
Railway Appliance Research,1
Canadian Pacific Express Company,10
Canada. Parliament,6
Victoria & Sidney Railway Company,1
Michigan Central Railroad,1
Southern Pacific Company,1
Parmelee Company,1
Pullman Company,1
"Walton, George",1
British Association of Winnipeg,1
Canada. Board of Transport Commissioners,2
Trans-Canada Air Lines,5
Turisanda,1
"Seal, Elizabeth Rayner",1
Peiping-Liaoning Railway,2
"Scidmore, Eliza Ruhamah",6
"Lines, Kenneth W.",1
Cavalier Tours Limited,2
International Travel Service Limited,1
"Wheeler, Elmer",2
Fourways Travel Limited,1
International Railway Publishing Company,1
"Waun, Henry",1
Great North Western Telegraph Company of Canada,1
"Moore, M.W.",1
"Hughes, Lee",1
"Whitelock, C.A.",1
Chicago and Eastern Illinois Railroad. Traffic Department.,1
Coast Publishing Company,1
British Columbia Railway Company,2
"Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express and Station Employees",1
"Amalgamated Press, Ltd.",2
"Mackintosh, Norman",1
"DeMuth, Flora",1
"Phillips, Percival",1
"Morck, G.",1
Studio (Magazine),1
Theo H. Davies and Company. Travel Department.,1
Honolulu Rapid Transit,1
Great Indian Peninsula Railway,1
Illustrated London News,5
"Maclean Publishing Company, Limited",1
United States of America. Immigration Bureau.,2
"Gowlland, Gladys M.",3
Sanders Phillips and Co.,3
"Hammer, Eric",1
Dodie,1
"McCann, Leonard G.",1
"McInnis, Dan",1
"Ritchie, G.W.",1
"Ritchie, G.W. ; Prince George Limited Partnership",1
Frames' Tours,1
"Godden, P.H.",1
"Elliott, Frank S.",1
"Cottrell, George H.",1
"Forster, Mr. and Mrs.",2
"Heathorn, Arthur",1
T Long's Special Agency,1
Chinese Times,1
"Light, John P.",1
Railway and Travel Monthly,1
"Bowen, Frank C.",1
"Musk, George",3
World Ship Society,2
"Edwards, Gillespie",1
Charles Birchall and Sons,1
"Doberck, W.",1
Hongkong Daily Press,1
"Johnston, J.R.Y.",1
"Jolicoeur, E.P.",1
"Ireland, W.E.",1
"Ohori, Joe",6
"Lum, Berll",1
"Lum, Bertha",1
Nederland Royal Mail Line,1
Holland-America Line,1
Northwestern Steamship Co. Ltd.,3
"Boch, Basil",1
"Day, Harold",1
"Holland, A.J.",2
North Pacific Press,1
"Tapping, Minnie E.",1
"Lockett, Alan",1
"Clark, Frank C.",3
"Van der Zee, W.F.",1
Compagnie Générale Transatlantique,2
Shipbuilder Press,2
"McPherson, Marion",1
